type,pos,釋義1
了然,VH,【形】枉然、枉費。例：這个囡仔欲食毋討趁，有夠了然。Tsit-ê gín-á beh tsia̍h m̄ thó-thàn, ū kàu liáu-jiân. (這個孩子只顧白食不肯賺錢，實在枉然。)　
了結,VC,
了解,VK,
予,VD,1.【動】給予。例：我予你一个面子，這件代誌就準拄煞。Guá hōo lí tsi̍t ê bīn-tsú, tsit kiānn tāi-tsì tō tsún tú-suah. (我給你一個面子，這件事就這樣算了。)　
事,VC,【名】事情。人類的所作所為及自然界的一切現象、活動。本辭典使用「代」字來表示。例：事志　tāi-tsì(事情)、可憐事　khó-liân-tāi(不幸事件)。
事主,Na,【名】當事人。與事情有直接關係的人。例：公親變事主。Kong-tshin piàn sū-tsú. (仲裁者成了當事人。指被捲入糾紛之中。)　
事件,Na,【名】事項、事情。
事先,D,
事前,Nd,
事務,Na,【名】總務。例：法律事務　huat-lu̍t sū-bū (法律業務)。
事務所,Nc,【名】辦理事務及業務的處所，通常用來指稱與法律、政治或經濟等有關的機構。例：法律事務所　huat-lu̍t sū-bū-sóo(法律事務所)。
事宜,Na,
事實,Na,【名】真相。事情的真實情形。
事後,Nd,【副】事務已成定局之後，或事情發生之後。例：事後才來彌補就袂赴矣。Sū-āu tsiah lâi mí-póo tō bē-hù--ah. (事情發生之後再來彌補就來不及了。)　
事故,Na,
事業,Na,1.【名】具有一定的目標、規模組織或對社會發展有影響的活動。例：觀光事業　kuan-kong sū-gia̍p、慈善事業　tsû-siān sū-gia̍p。
事物,Na,
事理,Na,【名】道理。事物或事情的道理。
事蹟,Na,
事項,Na,
二,VH,【數】數字。 例：第二　tē-jī。
二仁溪,Nc,附錄－地名－溪川名
二房,Na,【名】家族中次男的支系。例：陳家二房的囝孫仔攏真老實。Tân--ka jī-pâng ê kiánn-sun-á lóng tsin láu-si̍t. (陳家二房的子孫都很老實。)　
二手,A,1.【名】副手、助手、助理。技術工作中的助手、協助處理事務的人。例：伊是二手，毋是頭手。I sī jī-tshiú, m̄ sī thâu-tshiú. (他是助手，不是師傅。)　[近]副手、助手、助理[反]師傅、頭手
二手貨,Na,
二林鎮,Nc,彰化縣行政區(附錄－地名－臺灣縣市行政區名)
二氧化碳,Na,
二水,Nc,附錄－地名－火車線站名
二水鄉,Nc,彰化縣行政區(附錄－地名－臺灣縣市行政區名)
二萬坪,Nc,附錄－地名－火車線站名
云,VE,
互,D,
互信,VH,
互助,VA,
互動,VA,
互惠,VH,
互相,D,
互補,VH,
五,Neu,釋義參見【五】gōo 條。例：五穀　ngóo-kok、五香　ngóo-hiang。
五分車,Na,小火車。見【五分仔車】gōo-hun-á-tshia 條。
五加皮,Na,【名】以五加樹的根部的樹皮所泡製而成的藥酒。藥性辛溫無毒，有袪風溼、強筋骨的功效，可治疝氣、腹病及陽痿。
五四三,Neu,【名】沒有意義、沒有內容的話。例：五四三，講甲規米籃。Gōo-sì-sann, kóng kah kui bí-nâ.(講了一大堆沒用的話。)　
五堵,Nc,附錄－地名－火車線站名
五塊厝,Nc,附錄－地名－高雄捷運橘線站名
五官,Na,
五峰鄉,Nc,新竹縣行政區(附錄－地名－臺灣縣市行政區名)
五彩,Na,【形】形容顏色眾多繽紛。例：暗時坐佇窗仔門邊，我攏有看著五彩的燈火閃閃爍爍。Àm-sî tsē tī thang-á-mn̂g pinn, guá lóng ū khuànn-tio̍h ngóo-tshái ê ting-hué siám-siám-sih-sih. (晚上坐在窗邊，我都可以看到五彩繽紛的燈光閃爍不停。)　
五指山,Nc,附錄－地名－山脈名
五星級,Na,
五福,Na,【名】指壽、富、康寧、攸好德、考終命等五種福氣，也有指壽、富、貴、安樂、子孫眾多五種福氣。
五穀,Na,【名】泛指各種主要的穀物。普通說法以稻、小米、高梁、大麥、豆類為五穀。
五結鄉,Nc,宜蘭縣行政區(附錄－地名－臺灣縣市行政區名)
五臟,Na,【名】指心、肝、脾、肺、腎等五大器官，也可泛指一切內臟。例：人的五臟六腑攏是真重要的。Lâng ê ngóo-tsōng-lio̍k-hú lóng sī tsin tiōng-iàu--ê. (人的內臟是很重要的。)　
五臟六腑,Na,
五花十色,VH,
五金,Na,【名】金、銀、銅、鐵、錫(或鉛)五種金屬；也用來泛指各種金屬製品。
五金行,Nc,【名】販賣各種金屬用品的商店，可以分為家庭五金和機械五金。
五香,Na,【名】指茴香、花椒、八角、桂皮、丁香五種香料，是烹調食物時所添加的佐料。
井,Nb,
井水,Na,【名】井中的水。
亞,Nc,
亞太,Nc,
亞洲,Nc,
亞軍,Na,
亞運,Nb,
亡,VHC,1.【動】死、消失、滅絕。例：亡國　bông-kok。
亡國,VH,
亡魂,Na,【名】死者的靈魂。例：牽亡魂　khan-bông-hûn(牽引亡魂、通靈。是傳統喪禮的一部分。)　
亢旱,Na,
交,VD,【連】和。是新竹地區的閩南語用法。例：伊想欲交你做朋友。I siūnn-beh kiau lí tsò pîng-iú. (他想要和你做朋友。)　
交付,VD,
交代,VE,1.【動】囑咐、吩咐。例：阿爸交代伊愛用功。A-pah kau-tài i ài iōng-kong. (爸爸叮嚀他要用功讀書。)　
交保,VB,
交割,VA,1.【動】指交易時，將錢與貨物結清；現在多用於股市。例：違約交割　uî-iok kau-kuah。
交叉,VH,
交友,VA,
交往,VA,【動】人與人之間的相互往來。例：聽講伊佮阿英咧交往，敢有影？Thiann-kóng i kah A-ing teh kau-óng, kám ū-iánn? (聽說他和阿英在交往，是真的嗎？)　
交情,Na,【名】人與人相互往來所產生的情誼。例：兩人的交情誠好。In nn̄g lâng ê kau-tsîng tsiânn hó. (他們兩人的友誼很好。)　
交戰,VA,
交接,VC,1.【動】移交和接替。例：愛緊辦理交接的手續。Ài kín pān-lí kau-tsiap ê tshiú-sio̍k. (要趕快辦理交接的手續。)　
交插,VC,1.【動】往來、交往。例：兩个自從冤家了後，就無相交插矣。In nn̄g ê tsū-tsiông uan-ke liáu-āu, tō bô sio-kau-tshap--ah. (他們兩個自從吵架以後，就不互相往來了。)　[近]交往
交換,VC,【動】調換、對換。
交易,VA,【形】指生意興隆的樣子。例：這間店的生理真交易。Tsit king tiàm ê sing-lí tsin ka-ia̍h. (這間店的生意很興隆。)　
交替,VH,【名】替死鬼。在民俗信仰上，相傳人意外身亡之後，魂魄會留在原地，只要有人在原地區以相同方式死亡，自己便能被取代而投胎轉世，故冤魂為了抓取他人魂魄，便害人致死。例：掠交替　lia̍h kau-thè(抓替死鬼)、討交替　thó kau-thè(找替死鬼)。
交會,VA,
交椅,Na,【名】有扶手有靠背的椅子。例：娶某大姊，坐金交椅。Tshuā bóo tuā-tsí, tsē kim kau-í. (指妻子的年紀比丈夫大，比較會侍候丈夫。)　
交流,VH,【動】相互往來，彼此影響。
交涉,VE,【動】相互協商，討論彼此間有關的事務。例：你去交涉看覓。Lí khì kau-sia̍p khuànn-māi. (你去交涉看看。)　
交結,VC,【動】結交。結識相交。例：伊攏交結一寡做官的。I lóng kau-kiat tsi̍t-kuá tsò-kuann--ê. (他都結交一些做官的人。)　
交織,VJ,
交纏,VC,
交談,VA,
交貨,VA,
交通,Na,【名】汽車、船舶、飛機等各種運輸工具在陸地、水上或空中的往來。
交關,VH,【動】買賣、惠顧。例：阿公定定去彼間𥴊仔店交關。A-kong tiānn-tiānn khì hit-king kám-á-tiàm kau-kuan. (爺爺常常去那間雜貨店買東西。)　
交際,VA,【名】人與人之間彼此往來的聚會應酬。
交響曲,Na,
交響樂,Na,
亥,b,【名】地支的第十二位。例：亥時　hāi sî(晚上九點至十一點)。
亦,D,【連】也。例：伊佮我的關係是亦師亦友。I kah guá ê kuan-hē sī i̍k su i̍k iú. (他跟我的關係是老師也是朋友。)　
亨,Na,
享,VJ,
享受,VJ,【動】指無憂無慮，衣食無缺的生活。
享有,VJ,
享用,VC,
享福,VH,【動】生活安逸，舒適快樂，享受幸福。
京,Nc,
京戲,Na,【名】平劇。舊時流行於中國大陸各地的劇種。有近兩百年歷史，清末以北京最為盛行，故稱為「京劇」、「京戲」。民國之後改北京為北平，所以又稱為「平劇」。
亭,Na,【名】一種有頂無牆的建築物，多蓋在花園或路旁，供人休息或作為觀賞造景之用。例：涼亭　liâng-tîng。
亮,VH,
人,Na,附錄－百家姓
人世,Nc,
人中,Na,【名】人臉部鼻子下，嘴脣上方凹下部分。例：算命的講，人中長的人較長歲壽。Sǹg-miā--ê kóng, jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū. (算命的說，人中長的人壽命比較長。)　
人事,Na,1.【名】機關中的人員升調、獎懲、任免等事務。例：人事室　jîn-sū sik(管理機關人員的辦公處所)。
人事局,Nc,
人人,Na,【名】每一個人。例：恁新婦人人呵咾。Lín sin-pū lâng-lâng o-ló. (你媳婦人人稱讚。)　
人倫,Na,【名】人類的倫常，人類相處的各種關係。例：這个案件是人倫悲劇。Tsit-ê àn-kiānn sī jîn-lûn pi-kio̍k. (這個案件是人倫悲劇。)　
人力,Na,
人參,Na,【名】草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。
人口,Na,
人命,Na,
人和,Na,
人品,Na,
人員,Na,1.【名】擔任某種職務的人。例：公務人員　kong-bū jîn-uân。
人士,Na,
人壽,Na,
人客,Na,【名】客人、賓客、顧客。例：咱愛好好仔招待人客。Lán ài hó-hó-á tsiau-thāi lâng-kheh. (我們要好好招呼客人。)；店內人客真濟。Tiàm-lāi lâng-kheh tsin tsē.(店裡顧客很多。)　
人家,Nh,【名】住宅、民家。例：一戶人家　tsi̍t hōo jîn-ke。
人工,Na,1.【名】人力、人手。人的勞動力或是指可以工作的人。例：割稻仔的人工愈濟就愈緊割了。Kuah-tiū-á ê lâng-kang jú tsē tō jú kín kuah-liáu. (越多人割稻就越快完工。)　
人影,Na,【名】人的影子，也可以用來指人。例：規間厝恬恬無聲，連半个人影嘛無。Kui king tshù tiām-tiām bô-siann, liân puànn ê lâng-iánn mā bô. (整間屋子靜悄悄的，連半個人影都沒有。)　
人心,Na,
人性,VH,
人情,Na,1.【名】恩惠、恩情。例：做人情予伊。Tsò-jîn-tsîng hōo--i. (給他一個人情。)　
人手,Na,
人才,Na,【名】 外表、儀容。例：恁囝婿的人才生做袂䆀。Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái. (你女婿外表長得不錯。)　
人數,Na,
人文,VH,
人格,Na,【名】品格、品性。例：做人愛重人格。Tsò-lâng ài tiōng jîn-keh. (為人要注重人格。)、我用人格共你保證。Guá iōng jîn-keh kā lí pó-tsìng. (我用人格跟你保證。)　
人權,Na,【名】人生來就有的權利或是指人民在法律上所享有的權利，包括自由、人身安全、工作、受教育、集會結社、宗教信仰、財產等一切的人身權及民主權利。
人次,Na,
人民,Na,【名】百姓、國民。居住在一國家內具有應享權利與應盡義務的人。
人氣,Na,【名】人緣、人望。源自日語。例：伊閣不止仔有人氣。I koh put-tsí-á ū jîn-khì. (他的人緣還算不錯。)　
人潮,Na,
人為,VG,
人物,Na,【名】有品格、才能出眾的人。例：大人物　tuā jîn-bu̍t(有地位有名望的人)。
人生,Na,【名】人的一生、生命歷程。例：人生短短仔　jîn-sing té-té--ah(人生苦短)。
人種,Na,
人範,Na,【名】人品。指人的外在面貌或儀表。例：伊的人範袂䆀。I ê lâng-pān bē-bái. (他的人品不錯。)　
人緣,Na,【名】與人相處時，其相貌、個性、舉止受人歡迎的狀況。例：伊真有人緣。I tsin ū-lâng-iân. (他很有人緣。)　
人群,Na,
人質,Na,
人身,Na,
人造,A,【形】由人工製造而成的。例：人造雨　jîn-tsō hōo。
人道,VH,
人選,Na,
人間,Nc,
人際,Na,
人面,Na,【名】人脈。例：伊的人面真闊，拜託伊就無毋著！I ê lâng-bīn tsin khuah, pài-thok--i tō bô-m̄-tio̍h! (他的人脈很廣，拜託他就沒錯！)　
人頭,Na,1.【名】人的頭部。
人類,Na,
人馬,Na,【名】兵馬。泛指軍隊和武力裝備，及有相當力量的聚合人群。例：兩隊人馬佇街仔路相拄。Nn̄g tuī jîn-má tī ke-á-lōo sio-tú. (兩隊人馬在街道相遇。)　
人體,Na,
仁,Na,1.【名】孔子的中心思想，寬恕和有德行。例：仁者　jîn-tsiá。
仁愛,VH,【形】仁厚慈愛。
仁愛區,Nc,基隆市行政區(附錄－地名－臺灣縣市行政區名)
仁愛鄉,Nc,南投縣行政區(附錄－地名－臺灣縣市行政區名)
仁慈,VH,【形】和善、善良。慈悲，寬大慈善。
仁義,Na,【形】仁愛正義、寬厚正直。
仄,Na,【名】漢語聲調的類型，平、上、去、入四聲調中的上、去、入合稱為仄。例：平仄　piânn-tseh。
仆,b,【動】向前撲倒。例：伊跋一下規个人仆落去。I pua̍h tsi̍t-ē kui-ê lâng phak--lo̍h-khì. (他跌得整個人撲倒在地。)　
仇,VJ,附錄－百家姓
仇人,Na,
仇恨,VC,
今,Nd,
今仔,Na,【副】剛剛、剛才。例：我今仔才入門爾爾。Guá tann-á tsiah ji̍p mn̂g niā-niā. (我才剛剛進門而已。)　
今年,Nd,【時】本年。說話時的這一年。例：伊今年十歲。I kin-nî tsa̍p huè. (他今年十歲。)　
今後,Nd,
介,VJ,
介入,VC,
介紹,VE,1.【動】引薦。居間接洽、牽合雙方認識。例：我來介紹恁兩个熟似。Guá lâi kài-siāu lín nn̄g ê si̍k-sāi. (我來引薦你們兩個認識。)　
介面,Na,
仔,Na,
仕,VA,1.【動】做官、任職。例：仕途　sū-tôo、出仕　tshut-sū(做官)。
他,Nh,
他人,Nh,
他鄉,Nc,
仗,P,
付,VD,【動】交出。例：交付　kau-hù、付錢　hù tsînn。
付出,VC,
付款,VB,
付費,VA,
仙,Na,【量】錢幣的單位，借自日語「錢」的發音。cent(一分錢)的音譯。例：一仙錢　tsi̍t sián tsînn(一分錢)。
仙丹,Na,1.【名】神仙所煉的靈藥，據說吃了可以長生不老，變成神仙。
仙人,Na,【名】長生不老且具有法術神通的人。例：仙人拍鼓有時錯，跤步踏差啥人無？Sian-jîn phah kóo ū sî tshò, kha-pōo ta̍h-tsha siánn-lâng bô? (仙人打鼓也會有差錯，何況凡人？比喻誰能無過。)　
仙境,Nc,
仙女,Nb,1.【名】女性的仙人。
仙姑,Na,【名】對女性道士的敬稱。
仙桃,Na,1.【名】指神話故事中西天王母桃園中所栽種的桃子。
仙洞,Nc,【名】仙人居住的地方，也專指基隆出名的景點。
仙草,Na,【名】脣形科仙草屬，草本植物。產於全省中、低海拔山野之地，屬於無汙染作物，其味甘、膠性重，經由採收、曬乾、洗淨、熬煮、萃取等加工程序製成仙草凍、仙草汁等食品。
仝,FW,【形】相同、無差異。例：仝款　kāng-khuán(同樣)、無仝　bô kāng(不同)。
仟,Neu,
代,VC,
代價,Na,
代勞,VB,
代名詞,Na,
代天府,Nc,附錄－地名－廟宇名
代工,VA,
代書,Na,【名】以代人書寫契約文件為職業的人。
代替,VC,【動】交替、取代。
代步,VA,
代理,VC,【動】代替別人處理事務。例：我今仔日無閒，公司的代誌才勞煩你代理一下。Guá kin-á-ji̍t bô-îng, kong-si ê tāi-tsì tsiah lô-huân lí tāi-lí--tsi̍t-ē. (我今天很忙，公司的事情就麻煩你代理一下。)　
代碼,Na,
代筆,VA,【動】代人寫作。例：這張批麻煩你替我代筆一下。Tsit tiunn phue mâ-huân lí thè guá tāi-pit--tsi̍t-ē. (這封信麻煩你幫我代寫一下。)　
代號,Na,
代表,VK,1.【名】由機關、團體選舉出來或受委託、指派以代替眾人辦事或表達意見的人。
代言人,Na,
代誌,Na,【名】事情。例：厝內大細項代誌攏是伊咧發落。Tshù-lāi tuā-sè hāng tāi-tsì lóng sī i teh hua̍t-lo̍h. (家裡面大小事情都是他在處理。)　
