2	一	壹	第7級	it	壹	【替】tsi̍t			1.【數】數字。	2.【形】極、最、第一的。例：一流　it-liû。	3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê senn-tsò it-bôo-it-iūnn. (他們兩個長得一模一樣。)　	4.【副】整個地、全部地。例：一生　it-sing、一向　it hiòng。																						
196	大	大	第1級	【白】tuā		【替】ta、【文】tāi			1.【形】在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。例：阮大兄大我三歲。Guán tuā-hiann tuā guá sann huè. (我大哥比我大三歲。)；大紅　tuā-âng(深紅色)、大人　tuā-lâng。[反]小、細	2.【副】時間上更前或更後，有強調的意味。例：大昨日　tuā-tso̍h--ji̍t(大前天)、大後日　tuā-āu--ji̍t(大後天)。	3.【形】最年長的、排行第一的。例：大伯　tuā-peh(大伯父)、大姊　tuā-tsí(大姊)。	4.【動】變大、長大。例：囡仔會大，早慢是愛離開。Gín-á ē tuā, tsá-bān sī ài lī-khui. (小孩子會長大，遲早得要離開。)　												大	大個　tuǎ-kâinn	大　tuā, 奒　hai	大　tuā, 奒　hai	大　tuā, 奒　hai	大　tuā, 奒　hai	大　tuā, 奒　hai	大　tuā	大　tuā	大　tuā	大　tuā
197	女	女	第1*級	【白】lí/lú		【文】lú		男	【名】女性、女子。例：婦女　hū-lí。															女	lír	lír	lú	lí	lú	lú	lír	lú	lír;lí	lí
198	女	女	第1*級	【文】lú		【白】lí/lú		男	【名】女性、女子。例：女權　lú khuân。																									
199	子	子	第3*級	【白】tsí		【文】tsú、【替】jí/lí			1.【名】體積小的東西。例：銃子　tshìng-tsí(子彈)。	2.【名】植物的果實、種子或動物的卵。例：果子　kué-tsí(水果)、菜子　tshài-tsí(菜種)、烏魚子　oo-hî-tsí。																								
200	子	子	第3*級	【文】tsú		【白】tsí、【替】jí/lí			1.【名】兒女。例：公子　kong tsú(稱人子)、孝子　hàu-tsú(孝順的兒子。也指父母死後，居喪守孝的兒子)。	2.【名】對賢者的美稱。例：孔子公　Khóng-tsú-kong(孔子)。	3.【名】對人的稱呼。例：女子　lú-tsú、男子　lâm-tsú。	4.【名】晚輩。例：子弟　tsú-tē。	5.【名】門生、信徒。例：弟子　tē-tsú。	6.【名】地支的第一位。例：子丑寅卯　tsú thiú în báu(地支前四位)、甲子年　kah-tsú nî(干支為甲子的年分)。	7.【名】時辰名。用十二地支命名。例：子時　tsú-sî(晚上十一點至第二天凌晨一點)。	8.名詞後綴。例：面子　bīn-tsú。								子	tsír	tsír	tsú	tsú	tsú	tsú	tsír	tsú	tsú	tsú
202	寸	寸	第5級	tshùn					1.【量】計算長度的單位。一寸約三公分。例：陰鴆陰鴆，咬人三寸深。Im-thim-im-thim, kā lâng sann tshùn tshim. (一般陰沉的人，平常多是默不作聲，一狠起來，就會狠咬一口。)　	2.【形】短小、微小。例：寸步難行　tshùn pōo lân hîng(一小步也行走不得，喻處境困窘。)　																								
203	小	小	第1級	【文】siáu		【白】sió		大	1.【形】細微，是「大」的相反。例：小寒　siáu-hân(二十四節氣之一，冬至過後十五天，因天候寒冷所以有這個名稱。)　	2.【名】謙稱自己的子女。例：小女　siáu-lú(自己的女兒)。																								
204	小	小	第1級	【白】sió		【文】siáu		大	1.【形】細微、是「大」的相反。例：小湧　sió íng(小浪)。	2.【形】少許、些微。例：小可　sió-khuá(稍微、一點點)、小想一下　sió siūnn tsi̍t--ê(稍微想一下)。	3.【形】年紀、輩份比較低的。例：小叔仔　sió-tsik-á(丈夫的弟弟)。													小	小　sió, 細　suè	小　sió, 細　serè	小　sió, 細　suè	小　sió, 細　sè	小　siór, 細　sè	小　siór, 細　sè	小　sió	小　sió	小　sió, 細　suè	小　sió, 細　sè
205	山	山	第1*級	【文】san		【白】suann			【名】地形隆起的部分。例：阿里山　A-lí-san。																									
206	山	山	第1*級	【白】suann		【文】san			1.【名】地形隆起的部分。例：懸山　kuân suann(高山)。	2.【名】陸地。例：起山　khí-suann(登陸)。	3.【名】旱地。例：山園　suann-hn̂g(旱田)、山地　suann-tē(旱地或指山很多的地區)。																							
207	工	日	第1級	【白】kang		【文】kong、【替】khang			1.【量】計算天數的單位。例：我一禮拜愛上班五工。Guá tsi̍t lé-pài ài siōng-pan gōo kang. (我一禮拜要上五天班。)　[近]日	2.【名】運用勞力、技能的工作者。例：勞工　lô-kang、工人　kang-lâng、木工　ba̍k-kang。	3.【名】指生產勞務的工事。例：工程　kang-tîng。	4.【名】工夫。工作需要花費的時間、精力。例：伊刻這粒印仔真了工。I khik tsit lia̍p ìn-á tsin liáu-kang. (他刻這顆印章花很多時間。)　	5.【名】空閒時間。例：我無彼號閒工佮你開講。Guá bô hit-lō îng-kang kah lí khai-káng. (我沒有多餘的時間跟你聊天。)　	6.【名】與機械、技術、製造相關的。例：工場　kang-tiûnn、工業　kang-gia̍p、化工　huà-kang。																				
213	弓	弓	第6級	【白】king		【文】kiong			1.【名】武器名。彎弧形，用於射箭的工具。例：弓箭　king tsìnn。	2.【名】形狀似彎弧形的東西。例：衫弓仔　sann-king-á(衣架)、弓蕉　king-tsio(香蕉)。	3.【動】撐開、張開。例：弓大豬　king tuā ti(以過量餵養的方式，把豬隻的體型在短時間之內撐得更大，通常在即將販售或競賽之前進行。)、大步弓　tuā pōo king(張大步伐快速走)。	4.【量】計算弧形東西的單位。例：一弓弓蕉　tsi̍t king king-tsio(一枝香蕉花所結的一長串香蕉)。																						
214	才	才	第2級	tsâi		【替】tsiah、tshâi			1.【名】能力、才智、本事。例：才調　tsâi-tiāu(本事、能力)、無才　bô-tsâi(沒本事)。	2.【名】有某種資質或身份的人。例：將才　tsiòng-tsâi、秀才　siù tsâi、奴才　lôo-tsâi。																								
215	才	才	第2級	【替】tsiah		tsâi、tshâi			1.【副】方、始。例：這馬我才知影伊是騙我的。Tsit-má guá tsiah tsai-iánn i sī phiàn--guá--ê. (現在我才知道他是騙我的。)　	2.【副】只有。例：伊才十七歲爾爾，袂使啉酒。I tsiah tsa̍p-tshit huè niā-niā, bē-sái lim tsiú. (他才十七歲而已，不能喝酒。)　	3.【副】表強調的語氣。例：我才無欲相信你講的話！Guá tsiah bô beh siong-sìn lí kóng ê uē! (我才不相信你說的話！)　	4.【副】再。表示接續在另一動作之後。例：後擺我才共你講。Āu pái guá tsiah kā lí kóng. (以後我再告訴你。)；電影看煞才來去食飯。Tiān-iánn khuànn-suah tsiah lâi-khì tsia̍h-pn̄g. (電影看完再去吃飯。)　																						
218	丈人	岳父	第5級	tiūnn-lâng	丈儂		丈人爸		【名】岳父。稱謂。男子稱妻子的父親。例：阮丈人明仔載欲起來臺北。Guán tiūnn-lâng bîn-á-tsài beh khí-lâi Tâi-pak. (我的岳父明天要北上到臺北。)　																									
220	土人	粗魯	第6級	thóo-lâng	土儂				【名】比較粗魯、率直的人。例：伊是一个土人，講話較凊彩，你毋通佮伊計較。I sī tsi̍t ê thóo-lâng, kóng-uē khah tshìn-tshái, lí m̄-thang kah i kè-kàu. (他是一個粗人，說話比較隨便，你不要跟他計較。)　																									
221	大人	大人	第2級	tāi-jîn/tāi-lîn					【名】日治時代老百姓對警察的稱呼。源自日語。例：警察大人　kíng-tshat tāi-jîn。																									
223	大力	用力	第4級	tuā-la̍t			大下		【形】形容很用力，或者出重力。例：囡仔猶閣細漢，你毋通共拍甲遐爾仔大力。Gín-á iáu-koh sè-hàn, lí m̄-thang kā phah kah hiah-nī-á tuā-la̍t. (孩子還小，你不要打得那麼用力。)　																									
224	小人	小人	第6級	siáu-jîn/siáu-lîn				君子	【名】品德操守低下，人格卑劣的人。																									
226	工人	工人	第3*級	kang-lâng	工儂		工仔		【名】工人。靠勞力工作，以換取工資的人。																									
229	丈人爸	岳父	第5級	tiūnn-lâng-pâ	丈儂爸		丈人、岳父		【名】岳父。稱謂，男性稱呼妻子的父親。																									
233	上山	登山	第5級	tsiūnn-suann					【動】登山、爬山。例：頂禮拜阮一陣人上山去看風景。Tíng lé-pài guán tsi̍t tīn lâng tsiūnn-suann khì khuànn hong-kíng. (上個禮拜我們一群人登山去看風景。)　[近]山																									
236	大下	用力	第4級	tuā-ē			大力		【形】指很用力。例：伊拍一下傷大下，箠仔煞斷去。I phah tsi̍t-ē siunn tuā-ē, tshuê-á suah tn̄g--khì. (他打得太用力，竹枝竟然斷掉了。)　																									
238	小工	零工	第7級	sió-kang					【名】指一般打零工的人，因其工作性質、內容均不定，有時亦為副手，故稱為小工。																									
239	才子	才子	第7級	tsâi-tsú					【名】有卓越文才或學問能力的男子。																									
240	大丈夫	男子漢	第6級	tāi-tiōng-hu			好漢、男子漢、查埔囝		【名】有志氣而且勇敢剛毅的男子。例：男子漢大丈夫　lâm-tsú-hàn tāi-tiōng-hu。																									
243	千千萬萬	成千上萬	第6級	tshian-tshian-bān-bān					【形】成千上萬，形容數量很多。例：山頂的暗暝，會使看著千千萬萬粒星。Suann-tíng ê àm-mê, ē-sái khuànn-tio̍h tshian-tshian-bān-bān lia̍p tshenn. (山上的夜晚，可以看到成千上萬顆星星。)　																									
248	下勻	晚輩	第5級	ē-ûn			下輩、序細、晚輩、下沿(ē-iân)	頂勻、尊長、頂沿	【名】後輩、晚輩。例：這馬下勻的少年人，想法佮阮往過攏無仝。Tsit-má ē-ûn ê siàu-liân lâng, siūnn-huat kah guán íng-kuè lóng bô kāng. (現在小一輩的年輕人，想法和我們以往不同。)　																									
252	小丑仔	小丑	第6級	siáu-thiú-á					1.【名】戲劇或馬戲團中表演滑稽逗趣腳色的人。	2.【名】比喻舉止不莊重，善於逗趣的人。																								
253	土公仔性	粗魯	第6級	thóo-kong-á-sìng			土性		【形】形容人的個性粗魯，就像墓穴工一樣。例：伊就是彼款土公仔性，你莫佮伊計較。I tō sī hit khuán thóo-kong-á-sìng, lí mài kah i kè-kàu. (他的個性就是那麼粗魯，你不要和他計較。)　																									
255	上午	早晨	第4*級	siōng-ngóo			早起、頂晡	下午、下晡	【時】清晨到中午之間。																									
256	上天	老天爺	第5級	siōng-thian			天公、上蒼、天公伯仔		【名】上蒼。對具有無窮力量的天或是天上神明的總稱。例：請上天保庇咱臺灣會當安定佮富裕。Tshiánn siōng-thian pó-pì lán Tâi-uân ē-tàng an-tīng kah hù-jū. (請上蒼保佑我們臺灣能夠安定和富裕。)　																									
257	上手	得逞	第7級	tsiūnn-tshiú			在手		1.【副】對技術或工作已掌握熟練，駕馭自如。例：彼項工夫伊已經學上手矣。Hit hāng kang-hu i í-king o̍h tsiūnn-tshiú--ah. (那項技術他已熟練了。)　	2.【動】到手、得逞。例：諞仙仔錢諞上手就溜旋矣。Pián-sian-á tsînn pián tsiūnn-tshiú tō liu-suan--ah. (郎中錢一騙到手就開溜了。)　																								
259	下午	下午	第1級	hā-ngóo			下晝、下晡	上午、早起、頂晡	【時】中午過後的時間，指中午十二點到黃昏前的一段時間。															下午	下昏　e-hng, 下晝　e-tàu, 下晡　e-poo	下晝　e-tàu, 下晡　e-poo	下午　hā-ngóo, 下晝　e-tàu, 下晡　e-poo	下晝　e-tàu, 下晡　enn-poo	下晝　e-tàu, 下晡　e-poo	下晝　e-tàu, 下晡　e-poo	下晝　ē-tàu	下晝　ē-tàu	下晡　ē-poo, 下晝　ē-tàu	下晡　ē-poo, 下晝　ē-tàu
260	下手	著手	第6級	hē-tshiú			動手、落手		【動】動手去做。例：先下手為強　sing hē-tshiú uî kiông。																									
261	下手	手下	第5級	ē-tshiú					1.【名】商業活動中買進貨物的人。	2.【名】手下。																								
263	土木	土木	第7級	thóo-bo̍k					【名】指道路、橋樑或建築物的興建、改建、維護等工作。																									
264	大方	氣派	第6級	tāi-hong			大範		1.【形】慷慨不小氣。例：伊出手真大方，攏袂凍霜。I tshut-tshiú tsin tāi-hong, lóng bē tàng-sng. (他出手很慷慨，一點也不會小氣吝嗇。)　[近]冇手[反]凍霜	2.【形】舉止得體合宜、不矯飾，有大家風範。例：伊今仔日的穿插真大方。I kin-á-ji̍t ê tshīng-tshah tsin tāi-hong. (他今天的穿著很得體，有大家的風範。)　[近]派頭																								
265	大日	烈日	第7級	tuā-ji̍t/tuā-li̍t					1.【名】吉日。指適合婚喪嫁娶的好日子。例：今仔日是大日，真濟人嫁娶。Kin-á-ji̍t sī tuā-ji̍t, tsin tsē lâng kè-tshuā. (今天是好日子，很多人嫁娶。)　[近]吉日、好日[反]歹日	2.【名】烈日。例：運動會閣拄著出大日，逐家一定會曝甲烏趖趖。Ūn-tōng-huē koh tú-tio̍h tshut tuā-ji̍t, ta̍k-ke it-tīng ē pha̍k kah oo-sô-sô. (運動會又遇到出大太陽，大家一定會曬得很黑。)　																								
267	寸尺	尺寸	第5級	tshùn-tshioh			大細		【名】尺寸、法度。例：你若欲做衫，愛先量寸尺。Lí nā beh tsò sann, ài sing niû tshùn-tshioh. (你如果想要做衣服，要先量身材尺寸。)　																									
268	小心	謹慎	第5級	sió-sim			注意、細膩、斟酌、謹慎	生狂、無細膩、生猴	【形】注意、留意。例：囡仔人騎車愛小心，毋通騎傷緊。Gín-á-lâng khiâ-tshia ài sió-sim, m̄-thang khiâ siunn kín. (小孩子騎車要留意謹慎，不要騎太快。)　																									
271	工夫	工夫	第5級	kang-hu					1.【名】中國功夫。即特殊武術、工技。例：這馬練工夫真時行。Tsit-má liān kang-hu tsin sî-kiânn. (現在很流行練功夫。)　	2.【形】做工精密細膩。例：這條手巾仔做了有夠工夫。Tsit tiâu tshiú-kin-á tsò liáu ū-kàu kang-hu. (這條手帕做得很細緻。)　	3.【名】技術、本領、造詣。例：伊的工夫袂䆀。I ê kang-hu bē-bái. (他的技術不錯。)　[近]技術	4.【形】禮數多。例：咱攏是熟似人，毋免遐工夫。Lán lóng sī si̍k-sāi-lâng, m̄-bián hiah kang-hu. (我們都是彼此熟識的人，不用那麼多禮。)　																						
